text,rand
"""怡然敬父执，问我来何方。""",0.556846201
"""问答乃未已，驱儿罗酒浆。""",0.924977459
"""夜雨剪春韭，新炊间黄粱。""",0.296822739
"""主称会面难，一举累十觞。""",0.371972691
"""十觞亦不醉，感子故意长。""",0.929820966
"""明日隔山岳，世事两茫茫。""",0.393181209
"""绝代有佳人，幽居在空谷。""",0.656287026
"""自云良家子，零落依草木。""",0.816162152
"""关中昔丧乱，兄弟遭杀戮。""",0.724355508
"""官高何足论，不得收骨肉。""",0.330288004
"""世情恶衰歇，万事随转烛。""",0.244807913
"""夫婿轻薄儿，新人美如玉。""",0.131150201
"""合昏尚知时，鸳鸯不独宿。""",0.480087381
"""但见新人笑，那闻旧人哭！""",0.085995793
"""在山泉水清，出山泉水浊。""",0.083126742
"""侍婢卖珠回，牵萝补茅屋。""",0.155016787
"""摘花不插发，采柏动盈掬。""",0.902836112
"""天寒翠袖薄，日暮倚修竹。""",0.699267224
"""死别已吞声，生别常恻恻。""",0.723830233
"""江南瘴疠地，逐客无消息。""",0.866784846
"""故人入我梦，明我长相忆。""",0.497066851
"""君今在罗网，何以有羽翼？""",0.660259595
"""恐非平生魂，路远不可测。""",0.618892656
"""魂来枫林青，魂返关塞黑。""",0.566793298
"""落月满屋梁，犹疑照颜色。""",0.480304632
"""水深波浪阔，无使蛟龙得。""",0.818274439
"""浮云终日行，游子久不至。""",0.992657659
"""三夜频梦君，情亲见君意。""",0.78466092
"""告归常局促，苦道来不易。""",0.283034546
"""江湖多风波，舟楫恐失坠。""",0.029411819
"""出门搔白首，若负平生志。""",0.529091916
"""冠盖满京华，斯人独憔悴。""",0.788037777
"""孰云网恢恢，将老身反累。""",0.719553305
"""千秋万岁名，寂寞身后事。""",0.368296195
"""下马饮君酒，问君何所之。""",0.500472564
"""君言不得意，归卧南山陲。""",0.616489067
"""但去莫复闻，白云无尽时。""",0.044571782
"""圣代无隐者，英灵尽来归。""",0.168418892
"""遂令东山客，不得顾采薇。""",0.759286687
"""既至金门远，孰云吾道非？""",0.979356551
"""江淮度寒食，京洛缝春衣。""",0.707857086
"""置酒长安道，同心与我违。""",0.368444174
"""行当浮桂棹，未几拂荆扉。""",0.013756759
"""远树带行客，孤城当落晖。""",0.843502477
"""吾谋适不用，勿谓知音稀。""",0.452930775
"""言入黄花川，每逐青溪水。""",0.664125128
"""随山将万转，趣途无百里。""",0.365534328
"""声喧乱石中，色静深松里。""",0.241043161
"""漾漾泛菱荇，澄澄映葭苇。""",0.598538977
"""我心素已闲，清川澹如此。""",0.62431316
"""请留盘石上，垂钓将已矣。""",0.115504548
"""斜光照墟落，穷巷牛羊归。""",0.746671511
"""野老念牧童，倚杖候荆扉。""",0.883243065
"""雉［句隹］麦苗秀，蚕眠桑叶稀。""",0.360500052
"""田夫荷锄立，相见语依依。""",0.251116482
"""即此羡闲逸，怅然吟式微。""",0.154537216
"""艳色天下重，西施宁久微。""",0.113431573
"""朝为越溪女，暮作吴宫妃。""",0.300737817
"""贱日岂殊众，贵来方悟稀。""",0.262063179
"""邀人傅脂粉，不自著罗衣。""",0.893502509
"""君宠益娇态，君怜无是非。""",0.126420767
"""当时浣纱伴，莫得同车归。""",0.469204069
"""持谢邻家子，效颦安可希！""",0.499682027
"""北山白云里，隐者自怡悦。""",0.389054948
"""相望始登高，心随雁飞灭。""",0.510962917
"""愁因薄暮起，兴是清秋发。""",0.150520258
"""时见归村人，沙行渡头歇。""",0.602212021
"""天边树若荠，江畔洲如月。""",0.590430517
"""何当载酒来，共醉重阳节。""",0.629067189
"""山光忽西落，池月渐东上。""",0.423953758
"""散发乘夜凉，开轩卧闲敞。""",0.914714089
"""荷风送香气，竹露滴清响。""",0.906968867
"""欲取鸣琴弹，恨无知音赏。""",0.826962117
"""感此怀故人，中宵劳梦想。""",0.694835457
"""夕阳度西岭，群壑倏已暝。""",0.134279191
"""松月生夜凉，风泉满清听。""",0.808644938
"""樵人归欲尽，烟鸟栖初定。""",0.675324824
"""之子期宿来，孤琴候萝径。""",0.851381751
"""高卧南斋时，开帷月初吐。""",0.758531735
"""清辉淡水木，演漾在窗户。""",0.858149546
"""苒苒几盈虚，澄澄变今古。""",0.185539999
"""美人清江畔，是夜越吟苦。""",0.555180888
"""千里其如何，微风吹兰杜。""",0.796677701
"""绝顶一茅茨，直上三十里。""",0.199659666
"""扣关无僮仆，窥室惟案几。""",0.465752238
"""若非巾柴车，应是钓秋水。""",0.283156916
"""差池不相见，黾勉空仰止。""",0.182953357
"""草色新雨中，松声晚窗里。""",0.626919446
"""及兹契幽绝，自足荡心耳。""",0.232713154
"""虽无宾主意，颇得清净理。""",0.176467681
"""兴尽方下山，何必待之子。""",0.006100181
"""幽意无断绝，此去随所偶。""",0.818208918
"""晚风吹行舟，花路入溪口。""",0.171470585
"""际夜转西壑，隔山望南斗。""",0.979380626
"""潭烟飞溶溶，林月低向后。""",0.326572819
"""生事且弥漫，愿为持竿叟。""",0.57764141
"""清溪深不测，隐处唯孤云。""",0.035939552
"""松际露微月，清光犹为君。""",0.222542814
"""茅亭宿花影，药院滋苔纹。""",0.690960644
"""余亦谢时去，西山鸾鹤群。""",0.021524302
"""塔势如涌出，孤高耸天宫。""",0.754954973
"""登临出世界，磴道盘虚空。""",0.681672628
"""突兀压神州，峥嵘如鬼工。""",0.830344795
"""四角碍白日，七层摩苍穹。""",0.619805121
"""下窥指高鸟，俯听闻惊风。""",0.482827392
"""连山若波涛，奔凑如朝东。""",0.508603231
"""青槐夹驰道，宫馆何玲珑！""",0.575521871
"""秋色从西来，苍然满关中。""",0.52726882
"""五陵北原上，万古青蒙蒙。""",0.901752419
"""净理了可悟，胜因夙所宗。""",0.05921097
"""誓将挂冠去，觉道资无穷。""",0.26157581
"""癸卯岁，西原贼入道州，焚烧杀掠，几尽而去。明年，贼又攻永州，破邵，不犯此""",0.670286328
"""州边鄙而退，岂力能制敌欤？盖蒙其伤怜而已！诸史何为忍苦征敛！故作诗一篇以""",0.72178828
"""示官吏。""",0.238388762
"""昔岁逢太平，山林二十年。""",0.140559987
"""泉源在庭户，洞壑当门前。""",0.104424919
"""井税有常期，日晏犹得眠。""",0.371531832
"""忽然遭时变，数岁亲戎旃。""",0.21073585
"""今来典斯郡，山夷又纷然。""",0.518525603
"""城小贼不屠，人贫伤可怜。""",0.681133821
"""是以陷邻境，此州独见全。""",0.809503578
"""使臣将王命，岂不如贼焉！""",0.692741771
"""令彼征敛者，迫之如火煎。""",0.796621463
"""谁能绝人命，以作时世贤。""",0.033268178
"""思欲委符节，引竿自刺船。""",0.51811779
"""将家就鱼麦，归老江湖边。""",0.60744774
"""兵卫森画戟，宴寝凝清香。""",0.818164528
"""海上风雨至，逍遥池阁凉。""",0.540716778
"""烦疴近消散，嘉宾复满堂。""",0.914658612
"""自惭居处崇，未睹斯民康。""",0.075988293
"""理会是非遣，性达形迹忘。""",0.520198605
"""鲜肥属时禁，蔬果幸见尝。""",0.328402251
"""俯饮一杯酒，仰聆金玉章。""",0.735705262
"""神欢体自轻，意欲凌风翔。""",0.930452137
"""吴中盛文史，群彦今汪洋。""",0.895226777
"""方知大蕃地，岂曰财赋强。""",0.074027533
"""凄凄去亲爱，泛泛入烟雾。""",0.588726444
"""归棹洛阳人，残钟广陵树。""",0.425731394
"""今朝为此别，何处还相遇。""",0.680127739
"""世事波上舟，沿洄安得住。""",0.197176404
"""今朝郡斋冷，忽念山中客。""",0.130242084
"""涧底束荆薪，归来煮白石。""",0.207834367
"""欲持一瓢酒，远慰风雨夕。""",0.934926121
"""落叶满空山，何处寻行迹。""",0.843691807
"""客从东方来，衣上灞陵雨。""",0.655665672
"""问客何为来，采山因买斧。""",0.025754829
"""冥冥花正开，扬扬燕新乳。""",0.213294592
"""昨别今已春，鬓丝生几缕。""",0.557390211
"""落帆逗淮镇，停舫临孤驿。""",0.564707912
"""浩浩风起波，冥冥日沈夕。""",0.304293807
"""人归山郭暗，雁下芦洲白。""",0.172200357
"""独夜忆秦关，听钟未眠客。""",0.82789575
"""吏舍局终年，出郊旷清曙。""",0.145094724
"""杨柳散和风，青山澹吾虑。""",0.114663778
"""依丛适自憩，缘涧还复去。""",0.595426073
"""微雨霭芳原，春鸠鸣何处？""",0.909079963
"""乐幽心屡止，遵事迹犹遽。""",0.664089052
"""终罢斯结庐，慕陶真可庶。""",0.180381171
"""永日方戚戚，出行复悠悠。""",0.900060843
"""女子今有行，大江溯轻舟。""",0.955079562
"""尔辈苦无恃，抚念益慈柔。""",0.995594234
"""幼为长所育，两别泣不休。""",0.720140788
"""对此结中肠，义往难复留！""",0.68845176
"""自小阙内训，事姑贻我忧。""",0.455546377
"""赖兹托令门，仁恤庶无尤。""",0.537550483
"""贫俭诚所尚，资从岂待周？""",0.75700918
"""孝恭遵妇道，容止顺其猷。""",0.686819082
"""别离在今晨，见尔当何秋。""",0.684186383
"""居闲始自遣，临感忽难收。""",0.260127998
"""归来视幼女，零泪缘缨流。""",0.373056378
"""汲井漱寒齿，清心拂尘服。""",0.943277083
"""闲持贝叶书，步出东斋读。""",0.327459568
"""真源了无取，忘迹世所逐。""",0.640670632
"""遗言冀可冥，缮性何由熟？""",0.60738647
"""道人庭宇静，苔色连深竹。""",0.505229231
"""日出雾露馀，青松如膏沐。""",0.7928707
"""澹然离言说，悟悦心自足。""",0.880833719
"""久为簪组累，幸此南夷谪。""",0.208417718
"""闲依农圃邻，偶似山林客。""",0.834553757
"""晓耕翻露草，夜榜响溪石。""",0.663243616
"""来往不逢人，长歌楚天碧。""",0.33150232
"""蝉鸣空桑林，八月萧关道。""",0.565214631
"""出塞复入塞，处处黄芦草。""",0.374270942
"""从来幽并客，皆向沙场老。""",0.979738866
"""莫学游侠儿，矜夸紫骝好。""",0.193625471
"""饮马渡秋水，水寒风似刀。""",0.589960475
"""平沙日未没，黯黯见临洮。""",0.178958289
"""昔日长城战，咸言意气高。""",0.301257086
"""黄尘足今古，白骨乱蓬蒿。""",0.677115932
"""明月出天山，苍茫云海间。""",0.212848813
"""长风几万里，吹度玉门关。""",0.9207602
"""汉下白登道，胡窥青海湾。""",0.731005611
"""由来征战地，不见有人还。""",0.763392003
"""戍客望边色，思归多苦颜。""",0.792108775
"""高楼当此夜，叹息未应闲。""",0.551247439
"""秦地罗敷女，采桑绿水边。""",0.879102867
"""素手青条上，红妆白日鲜。""",0.390819824
"""蚕饥妾欲去，五马莫留连。""",0.946850765
"""镜湖三百里，菡萏发荷花。""",0.09689462
"""五月西施采，人看隘若耶。""",0.02006533
"""回舟不待月，归去越王家。""",0.913470878
"""长安一片月，万户捣衣声。""",0.860770686
"""秋风吹不尽，总是玉关情。""",0.078681663
"""何日平胡虏，良人罢远征？""",0.449916895
"""明朝驿使发，一夜絮征袍。""",0.807322265
"""素手抽针冷，那堪把剪刀。""",0.705483825
"""裁缝寄远道，几日到临洮？""",0.41984215
"""妾发初覆额，折花门前剧。""",0.122532466
"""郎骑竹马来，绕床弄青梅。""",0.38231644
"""同居长干里，两小无嫌猜。""",0.764751139
"""十四为君妇，羞颜未尝开。""",0.949386236
"""低头向暗壁，千唤不一回。""",0.888006539
"""十五始展眉，愿同尘与灰。""",0.065856152
"""常存抱柱信，岂上望夫台！""",0.538259639
"""十六君远行，瞿塘滟预堆。""",0.110757773
"""五月不可触，猿鸣天上哀。""",0.794635644
"""门前迟行迹，一一生绿苔。""",0.948164764
"""苔深不能扫，落叶秋风早。""",0.453145956
"""八月蝴蝶来，双飞西园草。""",0.454963668
"""感此伤妾心，坐愁红颜老。""",0.522518271
"""早晚下三巴，预将书报家。""",0.784177584
"""相迎不道远，直至长风沙。""",0.543299217
"""梧桐相待老，鸳鸯会双死。""",0.46829113
"""贞妇贵殉夫，舍生亦如此。""",0.284869149
"""波澜誓不起，妾心井中水。""",0.712051996
"""慈母手中线，游子身上衣。""",0.170290169
"""临行密密缝，意恐迟迟归。""",0.48316724
"""谁言寸草心，报得三春辉？""",0.099980986
"""前不见古人，后不见来者。""",0.122124349
"""念天地之悠悠，独怆然而涕下！""",0.922052218
"""男儿事长征，少小幽燕客。""",0.22947734
"""赌胜马蹄下，由来轻七尺。""",0.068629181
"""杀人莫敢前，须如猬毛磔。""",0.198576831
"""黄云陇底白雪飞，未得报恩不能归。""",0.324158777
"""辽东小妇年十五，惯弹琵琶解歌舞。""",0.260244814
"""今为羌笛出塞声，使我三军泪如雨！""",0.052997917
"""四月南风大麦黄，枣花未落桐叶长。""",0.849823787
"""青山朝别暮还见，嘶马出门思故乡。""",0.247910641
"""陈侯立身何坦荡，虬须虎眉仍大颡。""",0.528646622
"""腹中贮书一万卷，不肯低头在草莽。""",0.756295859
"""东门酤酒饮我曹，心轻万事皆鸿毛。""",0.418993612
"""醉卧不知白日暮，有时空望孤云高。""",0.109563868
"""长河浪头连天黑，津口停舟渡不得。""",0.418179142
"""郑国游人未及家，洛阳行子空叹息。""",0.324240082
"""闻道故林相识多，罢官昨日今如何？""",0.987387402
"""主人有酒欢今夕，请奏鸣琴广陵客。""",0.170612837
"""月照城头乌半飞，霜凄万树风入衣。""",0.821352928
"""铜炉华烛烛增辉，初弹渌水后楚妃。""",0.451103496
"""一声已动物皆静，四座无言星欲稀。""",0.690358497
"""清淮奉使千馀里，敢告云山从此始？""",0.981384009
"""蔡女昔造胡笳声，一弹一十有八拍。""",0.74262634
"""胡人落泪沾边草，汉使断肠对归客。""",0.496456685
"""古戍苍苍烽火寒，大荒沈沈飞雪白。""",0.400730225
"""先拂声弦后角羽，四郊秋叶惊［扌戚］［扌戚］。""",0.803290551
"""董夫子，通神明，深山窃听来妖精。""",0.127104104
"""言迟更速皆应手，将往复旋如有情。""",0.51616066
"""空山百鸟散还合，万里浮云阴且晴。""",0.583482738
"""嘶酸雏雁失群夜，断绝胡儿恋母声。""",0.613639177
"""川为静其波，鸟亦罢其鸣。""",0.383195095
"""乌孙部落家乡远，逻娑沙尘哀怨生。""",0.636699643
"""幽音变调忽飘洒，长风吹林雨堕瓦。""",0.553463982
"""迸泉飒飒飞木末，野鹿呦呦走堂下。""",0.325483907
"""长安城连东掖垣，凤凰池对青琐门。""",0.719832652
"""高才脱略名与利，日夕望君抱琴至。""",0.250516996
"""南山截竹为筚篥，此乐本自龟兹出。""",0.145134864
"""流传汉地曲转奇，凉州胡人为我吹。""",0.074980562
"""傍邻闻者多叹息，远客思乡皆泪垂。""",0.650822799
"""世人解听不解赏，长飙风中自来往。""",0.467593191
"""枯桑老柏寒飕［风留］，九雏鸣凤乱啾啾。""",0.119975172
"""龙吟虎啸一时发，万籁百泉相与秋。""",0.229829703
"""忽然更作渔阳掺，黄云萧条白日暗。""",0.67984728
"""变调如闻杨柳春，上林繁花照眼新。""",0.184259415
"""岁夜高堂列明烛，美酒一杯声一曲。""",0.882751389
"""山寺钟鸣昼已昏，渔梁渡头争渡喧。""",0.194469092
"""人随沙路向江村，余亦乘舟归鹿门。""",0.759859069
"""鹿门月照开烟树，忽到庞公栖隐处。""",0.829068709
"""岩扉松径长寂寥，惟有幽人自来去。""",0.056169012
"""我本楚狂人，凤歌笑孔丘。""",0.898787144
"""手持绿玉杖，朝别黄鹤楼。""",0.464578927
"""五岳寻仙不辞远，一生好入名山游。""",0.200625474
"""庐山秀出南斗傍，屏风九叠云锦张。""",0.138280015
"""影落明湖青黛光，金阙前开二峰长。""",0.416056441
"""银河倒挂三石梁，香炉瀑布遥相望。""",0.708493331
"""回崖沓障凌苍苍。""",0.886660279
"""翠影红霞映朝日，鸟飞不到吴天长。""",0.451520199
"""登高壮观天地间，大江茫茫去不黄。""",0.927835662
"""黄云万里动风色，白波九道流雪山。""",0.949362732
"""好为庐山谣，兴因庐山发。""",0.289100414
"""闲窥石镜清我心，谢公行处苍苔没。""",0.581210611
"""早服还丹无世情，琴心三叠道初成。""",0.876170313
"""遥见仙人彩云里，手把芙蓉朝玉京。""",0.607794749
"""先期汗漫九垓上，愿接卢敖游太清。""",0.081428611
"""海客谈瀛洲，烟涛微茫信难求。""",0.404948948
"""越人语天姥，云霓明灭或可睹。""",0.474494616
"""天姥连天向天横，势拔五岳掩赤城。""",0.47885128
"""天台四万八千丈，对此欲倒东南倾。""",0.862836456
"""我欲因之梦吴越，一夜飞渡镜湖月。""",0.20726949
"""湖月照我影，送我至剡溪。""",0.57691822
"""谢公宿处今尚在，渌水荡漾清猿啼。""",0.11249804
"""脚著谢公屐，身登青云梯。""",0.782307586
"""半壁见海日，空中闻天鸡。""",0.942764956
"""千岩万壑路不定，迷花倚石忽已暝。""",0.468694996
"""熊咆龙吟殷岩泉，栗深林兮惊层巅。""",0.847122211
"""云青青兮欲雨，水澹澹兮生烟。""",0.788847705
"""裂缺霹雳，丘峦崩摧。""",0.834699543
"""洞天石扇，訇然中开。""",0.327066297
"""青冥浩荡不见底，日月照耀金银台。""",0.067372457
"""霓为衣兮风为马，云之君兮纷纷而来下。""",0.941949129
"""虎鼓瑟兮鸾回车，仙之人兮列如麻。""",0.529078656
"""忽魂悸以魄动，恍惊起而长嗟。""",0.663763845
"""惟觉时之枕席，失向来之烟霞。""",0.433743155
"""世间行乐亦如此，古来万事东流水。""",0.167606186
"""别君去兮何时还？且放白鹿青崖间。""",0.983479255
"""须行即骑访名山。""",0.06593932
"""安能摧眉折腰事权贵，使我不得开心颜！""",0.672496183
"""风吹柳花满店香，吴姬压酒唤客尝。""",0.765824574
"""金陵子弟来相送，欲行不行各尽觞。""",0.503336343
"""请君试问东流水，别意与之谁短长？""",0.456102023
"""弃我去者，昨日之日不可留。""",0.089931981
"""乱我心者，今日之日多烦忧！""",0.957418618
"""长风万里送秋雁，对此可以酣高楼。""",0.01132189
"""蓬莱文章建安骨，中间小谢又清发。""",0.568686278
"""俱怀逸兴壮思飞，欲上青天览明月。""",0.584143009
"""抽刀断水水更流，举杯销愁愁更愁。""",0.778840894
"""人生在世不称意，明朝散发弄扁舟。""",0.357642391
"""君不见走马川行雪海边，平沙莽莽黄入天。""",0.872180306
"""轮台九月风夜吼，一川碎石大如斗。""",0.54617258
"""随风满地石乱走，匈奴草黄马正肥。""",0.196613128
"""金山西见烟尘飞，汉家大将西出师。""",0.827198971
"""将军金甲夜不脱，半夜军行戈相拨。""",0.786827237
"""风头如刀面如割，马毛带雪汗气蒸。""",0.808168304
"""五花连钱旋作冰，幕中草檄砚水凝。""",0.758082877
"""虏骑闻之应胆慑，料知短兵不敢接。""",0.968500499
"""车师西门伫献捷！""",0.5862734
"""轮台城头夜吹角，轮台城北旄头落。""",0.312167519
"""羽书昨夜过渠黎，单于已在金山西。""",0.523296407
"""戍楼西望烟尘黑，汉兵屯在轮台北。""",0.13789577
"""上将拥旄西出征，平明吹笛大军行。""",0.641951082
"""四边伐鼓雪海涌，三军大呼阴山动。""",0.317018369
"""虏塞兵气连云屯，战场白骨缠草根。""",0.596798829
"""剑河风急雪片阔，沙口石冻马蹄脱。""",0.990401734
"""亚相勤王甘苦辛，誓将报主静边尘。""",0.717349019
"""古来青史谁不见，今见功名胜古人。""",0.403641248
"""北风卷地白草折，胡天八月即飞雪。""",0.984888428
"""忽如一夜春风来，千树万树梨花开。""",0.164384002
"""散入珠帘湿罗幕，狐裘不暖锦衾薄。""",0.6905899
"""将军角弓不得控，都护铁衣冷犹著。""",0.018033386
"""瀚海阑干百丈冰，愁云黪淡万里凝。""",0.909732494
"""中军置酒饮归客，胡琴琵琶与羌笛。""",0.081124028
"""纷纷暮雪下辕门，风掣红旗冻不翻。""",0.848641841
"""轮台东门送君去，去时雪满天山路。""",0.291793766
"""山回路转不见君，雪上空留马行处。""",0.574619621
"""国初以来画鞍马，神妙独数江都王。""",0.491076582
"""将军得名三十载，人间又见真乘黄。""",0.067002599
"""曾貌先帝照夜白，龙池十日飞霹雳。""",0.550509273
"""内府殷红玛瑙盘，婕妤传诏才人索。""",0.834560848
"""盘赐将军拜舞归，轻纨细绮相追飞。""",0.280119298
"""贵戚权门得笔迹，始觉屏障生光辉。""",0.218499792
"""昔日太宗拳毛［马呙］，近时郭家狮子花。""",0.274695614
"""今之新图有二马。复令识者久叹嗟。""",0.720388525
"""此皆骑战一敌万，缟素漠漠开风沙。""",0.991683551
"""其余七匹亦殊绝，迥若寒空杂烟雪。""",0.172655245
"""霜蹄蹴踏长楸间，马官厮养森成列。""",0.960365442
"""可怜九马争神骏，顾视清高气深稳。""",0.790135628
"""借问苦心爱者谁，后有韦讽前支盾。""",0.407044237
"""忆昔巡幸新丰宫，翠花拂天来向东。""",0.146945134
"""腾骧磊落三万匹，皆与此图筋骨同。""",0.833906453
"""自从献宝朝河宗，无复射蛟江水中。""",0.50744425
"""君不见，金粟堆前松柏里。龙媒去尽鸟呼风。""",0.658145951
"""将军魏武之子孙，于今为庶为青门。""",0.079762819
"""英雄割据虽已矣，文采风流今尚存。""",0.83733375
"""学书初学卫夫人，但恨无过王右军。""",0.848277103
"""丹青不知老将至，富贵于我如浮云。""",0.994010035
"""开元之中常引见，承恩数上南熏殿。""",0.567794484
"""凌烟功臣少颜色，将军下笔开生面。""",0.060871756
"""良相头上进贤冠，猛将腰间大羽箭。""",0.081592736
"""褒公鄂公毛发动，英姿飒爽犹酣战。""",0.296621892
"""先帝天马玉花骢，画工如山貌不同。""",0.137834216
"""是日牵来赤墀下，迥立阊阖生长风。""",0.770805087
"""诏谓将军拂绢素，意匠惨淡经营中。""",0.890965171
"""斯须九重真龙出，一洗万古凡马空。""",0.582859765
"""玉花却在御榻上，榻上庭前屹相向。""",0.996904307
"""至尊含笑催赐金，圉人太仆皆惆怅。""",0.985563973
"""弟子韩干早入室，亦能画马穷殊相。""",0.317316408
"""干惟画肉不画骨，忍使骅骝气凋丧。""",0.678416844
"""将军画善盖有神，偶逢佳士亦写真。""",0.785188355
"""即今漂泊干戈际，屡貌寻常行路人。""",0.224439833
"""涂穷反遭俗眼白，世上未有如公贫。""",0.091375977
"""但看古来盛名下，终日坎［土禀］缠其身！""",0.518424362
"""今我不乐思岳阳，身欲奋飞病在床。""",0.378533757
"""美人娟娟隔秋水，濯足洞庭望八荒。""",0.805405216
"""鸿飞冥冥日月白，青枫叶赤天雨霜。""",0.03124958
"""玉京群帝集北斗，或骑麒麟翳凤凰。""",0.553123527
"""芙蓉旌旗烟雾落，影动倒景摇潇湘。""",0.289795171
"""星宫之君醉琼浆，羽人稀少不在旁。""",0.411298887
"""似闻昨者赤松子，恐是汉代韩张良。""",0.948500034
"""昔随刘氏定长安，帷幄未改神惨伤。""",0.933177899
"""国家成败吾岂敢，色难腥腐餐枫香。""",0.639932509
"""周南留滞古所惜，南极老人应寿昌。""",0.158144605
"""美人胡为隔秋水，焉得置之贡玉堂？""",0.32342244
"""孔明庙前有老柏，柯如青铜根如石。""",0.311053607
"""双皮溜雨四十围，黛色参天二千尺。""",0.448412444
"""君臣已与时际会，树木犹为人爱惜。""",0.145548884
"""云来气接巫峡长，月出寒通雪山白。""",0.540845739
"""忆昨路绕锦亭东，先主武侯同［门必］宫。""",0.24416956
"""崔嵬枝干郊原古，窈窕丹青户牖空。""",0.630057203
"""落落盘踞虽得地，冥冥孤高多烈风。""",0.848926844
"""扶持自是神明力，正直元因造化功。""",0.454787594
"""大厦如倾要梁栋，万牛回首丘山重。""",0.423348206
"""不露文章世已惊，未辞剪伐谁能送？""",0.49540395
"""苦心岂免容蝼蚁？香叶终经宿鸾凤。""",0.223714631
"""志士幽人莫怨嗟，古来材大难为用！""",0.523560964
"""大历二年十月十九日夔府别驾元持宅见临颍李十二娘舞剑器，壮其蔚［足支］。问""",0.115029254
"""其所师，曰：余公孙大娘弟子也。开元三载，余尚童稚，记于郾城观公孙氏舞剑器""",0.588527631
"""浑脱。浏漓顿挫，独出冠时。自高头宜春梨园二伎坊内人，洎外供奉，晓是舞者，""",0.508786459
"""圣文神武皇帝初，公孙一人而已。玉貌锦衣，况余白首！今兹弟子亦匪盛颜。既辨""",0.666190402
"""其由来，知波澜莫二。抚事慷慨，聊为剑器行。昔者吴人张旭善草书书帖，数尝於""",0.930220644
"""邺县见公孙大娘舞西河剑器，自此草书长进，豪荡感激。即公孙可知矣！""",0.461166022
"""昔有佳人公孙氏，一舞剑器动四方。""",0.838170021
"""观者如山色沮丧，天地为之久低昂。""",0.50082147
"""霍如羿射九日落，矫如群帝骖龙翔。""",0.106673037
"""来如雷霆收震怒，罢如江海凝清光。""",0.833853169
"""绛唇珠袖两寂寞，晚有弟子传芬芳。""",0.35644866
"""临颍美人在白帝，妙舞此曲神扬扬。""",0.908776463
"""与余问答既有以，感时抚事增惋伤。""",0.109988161
"""先帝侍女八千人，公孙剑器初第一。""",0.795772598
"""五十年间似反掌，风尘［氵项］洞昏王室。""",0.249744674
"""梨园子弟散如烟，女乐馀姿映寒日。""",0.333830598
"""金粟堆前木已拱，瞿塘石城草萧瑟。""",0.340004344
"""玳筵急管曲复终，乐极哀来月东出。""",0.057683074
"""老夫不知其所往，足茧荒山转愁疾。""",0.139975001
"""漫叟以公田米酿酒，因休暇，则载酒于湖上，""",0.643440166
"""时取一醉；欢醉中，据湖岸，引臂向鱼取酒，""",0.985283692
"""使舫载之，遍饮坐者。意疑倚巴丘，酌於君山""",0.707187528
"""之上，诸子环洞庭而坐，酒舫泛泛然，触波涛""",0.86989603
"""而往来者，乃作歌以长之。""",0.52667393
"""石鱼湖，似洞庭，夏水欲满君山青。""",0.4671727
